headword,pos,CEFR
conflict,noun,B1
confront,verb,B2
confuse,verb,A2
confused,adjective,A2
confusing,adjective,B1
confusion,noun,B1
congratulate,verb,B1
conjunction,noun,B2
connect,verb,B1
connection,noun,B1
connexion,noun,B1
conquer,verb,B1
conquest,noun,B2
conscience,noun,B2
conscious,adjective,B1
consciousness,noun,B2
consensus,noun,B2
consent,noun,B2
consequence,noun,A2
consequently,adverb,B1
conservation,noun,B1
conservative,adjective,B1
consider,verb,A2
considerable,adjective,B1
considerably,adverb,B2
consideration,noun,B1
considering,conjunction,B2
considering,preposition,B2
consist,verb,A2
consistent,adjective,B2
consolation,noun,B2
console,verb,B2
consonant,noun,B1
constant,adjective,B2
constantly,adverb,B1
constitute,verb,B1
constitution,noun,B1
construct,verb,B1
construction,noun,B1
consult,verb,B2
consultant,noun,B2
consume,verb,B1
consumer,noun,B1
consumption,noun,B1
contact,noun,A2
contact,verb,A2
contain,verb,B1
container,noun,A2
contaminate,verb,B2
contemporary,adjective,B2
contempt,noun,B2
content,adjective,B2
content,noun,B1
contest,noun,A1
context,noun,A2
continent,noun,A2
continual,adjective,B1
continually,adverb,B1
continue,verb,A2
continuous,adjective,B1
continuously,adverb,B1
contract,noun,B2
contradict,verb,B2
contradiction,noun,B2
contradictory,adjective,B2
contrary,adjective,B1
contrast,noun,A2
contribute,verb,B1
contribution,noun,B1
control,noun,A2
control,verb,B1
controversial,adjective,B1
controversy,noun,B2
convenience,noun,A2
convenient,adjective,A2
conveniently,adverb,B2
convention,noun,B2
conventional,adjective,B2
conversation,noun,A1
converse,noun,B2
conversely,adverb,B2
conversion,noun,B2
convert,verb,B2
convey,verb,B1
convince,verb,B1
convinced,adjective,B2
cook,noun,A1
cook,verb,A1
cooker,noun,A2
cookie,noun,A1
cooking,noun,A2
cool,adjective,A1
cool,verb,B2
cooler,noun,A2
cooperate,verb,B2
cooperation,noun,B2
cooperative,adjective,B2
cop,noun,A1
cope,verb,B2
copper,noun,B2
copy,noun,A1
copy,verb,A2
copyright,noun,B1
coral,noun,B2
core,noun,B2
corn,noun,A1
corner,noun,A1
cornerstone,noun,B2
cornet,noun,B2
corona,noun,B2
corporal,adjective,B2
corporate,adjective,B2
corporation,noun,B2
correct,adjective,A1
correct,verb,B2
correction,noun,B1
correctly,adverb,A2
correctness,noun,B2
correspond,verb,B2
correspondence,noun,B2
correspondent,noun,B2
corresponding,adjective,B2
corridor,noun,B2
corrupt,adjective,B2
corruption,noun,B2
cosiness,noun,B2
cost,noun,A2
cost,verb,A2
costly,adjective,B2
costume,noun,B2
cosy,adjective,B2
cottage,noun,B2
cotton,noun,B1
couch,noun,A1
cough,noun,B2
cough,verb,B1
could,modal auxiliary,A1
council,noun,B1
counseling,noun,B1
counselling,noun,B1
count,noun,B1
count,verb,A2
counter,noun,B2
counter,verb,B1
countless,adjective,B1
country,noun,A2
countryman,noun,B2
countryside,noun,A2
countrywide,adjective,B2
county,noun,B1
couple,noun,A2
courage,noun,B1
courageous,adjective,B1
courgette,noun,B1
course,noun,A1
court,noun,A2
courtesy,noun,B2
cousin,noun,A1
cover,noun,A1
cover,verb,A2
cow,noun,A1
coward,noun,B2
cowardly,adjective,B2
coziness,noun,B2
cozy,adjective,B2
crab,noun,B2
crack,noun,B2
crack,verb,B2
craft,noun,B1
craftsman,noun,B2
crash,noun,B1
crash,verb,B1
crater,noun,B2
crawl,verb,B2
crazy,adjective,A2
cream,adjective,A2
cream,noun,A1
crease,noun,B2
create,verb,A2
creation,noun,B2
creative,adjective,A2
creatively,adverb,B2
creativity,noun,A2
creator,noun,B1
creature,noun,A2
credit,noun,A2
credit card,noun,A1
creek,noun,B2
creepy,adjective,B2
crew,noun,B2
cricket,noun,A2
crime,noun,A2
criminal,adjective,B2
criminal,noun,B1
cripple,noun,B2
crisis,noun,B1
crisp,noun,A2
critic,noun,B1
critical,adjective,B1
critically,adverb,B2
criticise,verb,A2
criticism,noun,B2
criticize,verb,A2
crocodile,noun,B2
crop,noun,B1
cross,noun,A2
cross,verb,A2
crossing,noun,B1
crossly,adverb,B2
crossroads,noun,B1
crow,noun,B1
crowd,noun,A2
crowded,adjective,A2
crown,noun,A2
crucial,adjective,B2
cruel,adjective,B1
cruelly,adverb,B2
cruelty,noun,B2
cruise,noun,A2
cruise,verb,B2
crush,noun,B1
cry,noun,A1
cry,verb,A2
crystallise,verb,B2
crystallize,verb,B2
cube,noun,B2
cubism,noun,B2
cucumber,noun,B1
cuff,noun,B2
culmination,noun,B2
cultivate,verb,B1
cultural,adjective,B1
culturally,adverb,B2
culture,noun,A1
cup,noun,A1
cupboard,noun,A2
cure,noun,B1
cure,verb,B2
curiosity,noun,B1
curious,adjective,B1
curiously,adverb,B1
curl,noun,B2
curly,adjective,B1
currency,noun,B1
current,adjective,B1
currently,adverb,B1
curriculum,noun,B1
curry,noun,A2
curse,noun,A2
cursor,noun,B2
curtain,noun,B1
curve,noun,B1
cushion,noun,B1
custom,noun,A2
customer,noun,A2
customs,noun,B1
cut,noun,B1
cut,verb,A1
cute,adjective,A1
CV,noun,B1
cyberaddict,noun,B2
cybercafe,noun,B2
cybercafé,noun,B2
cybercrime,noun,B2
cyberpet,noun,B2
cyberschool,noun,B2
cyberspace,noun,B2
cycle,noun,B1
cycle,verb,B1
cycling,noun,A2
cyclist,noun,B2
dad,noun,A1
daddy,noun,A1
daft,adjective,B2
daily,adjective,A2
daily,adverb,A2
daisy,noun,B1
dam,noun,A2
damage,noun,B1
damage,verb,B1
damaged,adjective,B1
damn,adjective,B2
damn,adverb,B2
damn,interjection,B2
damp,adjective,B1
dance,noun,A1
dance,verb,A1
dancer,noun,A2
dancing,noun,A1
dandelion,noun,B2
danger,noun,A2
dangerous,adjective,A2
dangerously,adverb,B1
dare,verb,B1
dark,adjective,A1
darkness,noun,B1
darling,adjective,B2
darling,noun,B2
dash,noun,B2
dash,verb,B2
data,noun,B2
database,noun,B2
date,noun,A1
date,verb,B1
dated,adjective,B2
dating,noun,B1
daughter,noun,A1
daughter-in-law,noun,B2
dawn,noun,B2
day,noun,A1
daylight,noun,A2
daytime,noun,B2
daze,noun,B1
dazzle,noun,B1
de facto,adjective,B2
dead,adjective,A2
deadline,noun,B1
deadly,adjective,B1
deaf,adjective,B1
deal,noun,A2
deal,verb,B1
dealer,noun,B1
dear,adjective,A1
dear,noun,B2
dearly,adverb,B2
death,noun,A2
debate,noun,A2
debit,noun,B2
debit,verb,B2
debit card,noun,B2
debris,noun,B1
debt,noun,B1
decade,noun,B2
decay,verb,B2
deceive,verb,B2
December,noun,A1
decent,adjective,B2
deceptive,adjective,B2
decide,verb,A2
decision,noun,B1
decisive,adjective,B2
deck,noun,B2
declaration,noun,B1
declare,verb,B1
decline,noun,B1
decline,verb,B2
decomposition,noun,B2
decorate,verb,B2
decoration,noun,B2
decorative,adjective,B2
decrease,noun,B1
decrease,verb,B1
dedicate,verb,B1
dedication,noun,B2
deduce,verb,B2
deduction,noun,B2
deed,noun,B1
deem,verb,B2
deep,adjective,B2
deep,adverb,A2
deeply,adverb,A2
deer,noun,B2
defeat,noun,B2
defeat,verb,B1
defence,noun,B1
defend,verb,B1
defender,noun,B1
defense,noun,B1
deficiency,noun,B1
deficit,noun,B2
define,verb,B1
definite,adjective,B1
definite article,noun,B1
definitely,adverb,B1
definition,noun,B1
deforestation,noun,B2
defy,verb,B2
degree,noun,A2
dehumanise,verb,B2
dehumanize,verb,B2
delay,noun,A2
delay,verb,B1
delegate,noun,B2
delete,verb,B1
deliberate,adjective,B2
deliberately,adverb,B2
delicacy,noun,B2
delicate,adjective,B1
delicately,adverb,B2
delicious,adjective,A1
delight,noun,B1
delight,verb,B2
delighted,adjective,B1
delightful,adjective,B1
deliver,verb,B1
delivery,noun,B1
demand,noun,B1
demand,verb,B1
demanding,adjective,B2
democracy,noun,B1
democratic,adjective,B1
demolish,verb,B2
demonstrate,verb,B1
demonstration,noun,B1
denim,noun,B2
dense,adjective,B2
densely,adverb,B2
dental,adjective,B2
dentist,noun,A2
deny,verb,B1
depart,verb,B1
department,noun,B1
department store,noun,A2
departure,noun,B1
depend,verb,A2
dependable,adjective,B2
dependent,adjective,B1
deposit,noun,B1
deposit,verb,B2
depressed,adjective,B1
depressing,adjective,B1
depression,noun,B1
deprive,verb,B1
depth,noun,B1
deputy,noun,B2
derive,verb,B1
descend,verb,B2
describe,verb,A1
description,noun,A2
descriptive,adjective,B2
desert,noun,A2
deserve,verb,B1
design,noun,A1
design,verb,B1
designer,adjective,B2
designer,noun,B1
desirable,adjective,B2
desire,noun,B1
desire,verb,B2
desk,noun,A1
desktop,noun,B2
desolation,noun,B2
despair,noun,B1
desperate,adjective,B1
desperately,adverb,B2
desperation,noun,B2
despise,verb,B2
despite,preposition,B1
dessert,noun,A2
destination,noun,B1
destiny,noun,B2
destroy,verb,A2
destruction,noun,B1
destructive,adjective,B1
detach,verb,B2
detachment,noun,B2
detail,noun,A2
detailed,adjective,B2
detect,verb,B2
detective,noun,B1
determination,noun,B1
determine,verb,B1
determined,adjective,B2
determiner,noun,B2
devastate,verb,B1
devastating,adjective,B1
develop,verb,A2
developed,adjective,A2
developing,adjective,B2
development,noun,B1
device,noun,B1
devil,noun,B2
devote,verb,B2
devoted,adjective,B2
devotion,noun,B1
diagram,noun,B1
dial,noun,B1
dial,verb,B1
dialog,noun,B1
dialogue,noun,B1
diameter,noun,B1
diamond,noun,A2
diaper,noun,B1
diarrhea,noun,B2
diarrhoea,noun,B2
diary,noun,A2
dictator,noun,B2
dictionary,noun,A1
did,do-verb,A1
die,verb,A2
diet,noun,A2
differ,verb,B1
difference,noun,A1
different,adjective,A1
differently,adverb,A2
difficult,adjective,A1
difficulty,noun,A2
dig,noun,A1
dig,verb,B1
digest,noun,B2
digital,adjective,B1
digital camera,noun,A2
dignify,verb,B2
dignity,noun,B2
dilemma,noun,B2
diligence,noun,B1
diligent,adjective,B1
dim,adjective,B2
dime,noun,B2
dimension,noun,B2
dining room,noun,A1
dinner,noun,A1
dinosaur,noun,A2
dioxide,noun,B1
dip,verb,B2
diphtheria,noun,B2
diploma,noun,B2
diplomat,noun,B2
direct,adjective,A2
direct,verb,B1
direction,noun,A2
directly,adverb,B1
director,noun,A2
dirt,noun,B1
dirty,adjective,A1
disability,noun,B1
disable,verb,B1
disabled,adjective,B1
disadvantage,noun,A2
disagree,verb,A2
disagreement,noun,B1
disappear,verb,A2
disappearance,noun,B2
disappoint,verb,B1
disappointed,adjective,A2
disappointing,adjective,A2
disappointment,noun,B1
disapproval,noun,B2
disapprove,verb,B2
disaster,noun,B1
disastrous,adjective,B1
disc,noun,B1
disc jockey,noun,B1
discharge,noun,B2
disciple,noun,B2
discipline,noun,B2
disco,noun,A2
discomfort,noun,B1
disconnect,verb,B2
discount,noun,B1
discourage,verb,B1
discover,verb,A2
discovery,noun,B1
discredit,verb,B2
discriminate,verb,B2
discrimination,noun,B1
discuss,verb,A1
discussion,noun,A2
disease,noun,B1
disgrace,noun,B2
disguise,noun,B2
disguise,verb,B2
disgusting,adjective,B1
dish,noun,A1
dishonest,adjective,A2
dishonesty,noun,B2
dishwasher,noun,B1
disillusion,verb,B2
disk,noun,B1
disk jockey,noun,B1
dislike,noun,A2
dislike,verb,B1
dismiss,verb,B2
disorder,noun,B2
disorderly,adjective,B2
disorganised,adjective,B2
disorganized,adjective,B2
dispensable,adjective,B2
displace,verb,B2
display,noun,A2
display,verb,B1
displeasure,noun,B2
disposal,noun,B2
disposition,noun,B2
dispute,noun,B2
disqualify,verb,B2
disregard,noun,B2
disrupt,verb,B2
dissatisfaction,noun,B2
dissatisfied,adjective,B2
dissident,noun,B2
dissolve,verb,B1
distance,noun,B1
distant,adjective,B1
distinction,noun,B1
distinctly,adverb,B1
distinguish,verb,B1
distinguished,adjective,B2
distortion,noun,B2
distract,verb,B2
distraction,noun,B2
distressing,adjective,B2
distribute,verb,B1
distribution,noun,B1
distributor,noun,B2
district,noun,B1
disturb,verb,A2
disturbance,noun,B1
dive,noun,B1
dive,verb,B1
diver,noun,B1
diverse,adjective,B1
diversion,noun,B2
divert,verb,B2
divide,noun,B1
divide,verb,A2
divided,adjective,B2
divine,adjective,B1
diving,noun,B1
division,noun,B2
divorce,noun,B2
divorce,verb,B2
divorced,adjective,B1
dizzy,adjective,A2
DJ,noun,B1
DNA,noun,B2
do,do-verb,A1
doc,noun,B1
dock,noun,B2
doctor,noun,A1
document,noun,B1
documentary,noun,B1
does,do-verb,A1
dog,noun,A1
doing,do-verb,A1
doll,noun,A1
dollar,noun,A1
dolphin,noun,B1
domestic,adjective,B2
dominate,verb,B2
donate,verb,B2
donation,noun,B2
done,do-verb,A2
donkey,noun,B2
doom,noun,B2
door,noun,A1
doorkeeper,noun,B2
doorway,noun,B2
dorm,noun,B2
dormitory,noun,B2
dose,noun,B2
dot,noun,B1
double,adjective,A2
double,noun,B2
double,verb,B2
doubly,adverb,B2
doubt,noun,A2
doubt,verb,B2
doubtful,adjective,B2
dove,noun,B2
down,adjective,B2
down,adverb,A1
down,preposition,A2
downfall,noun,B2
download,noun,B2
download,verb,A2
downsize,verb,B2
downstairs,adjective,B1
downstairs,adverb,A2
downtown,adverb,A2
downward,adjective,B1
dowry,noun,B2
doze,noun,B1
dozen,determiner,B1
dozen,noun,B1
Dr,noun,A1
Dr.,noun,A1
draft,noun,B2
drag,verb,B1
drain,noun,B2
drain,verb,B2
drama,noun,A1
dramatic,adjective,B1
dramatically,adverb,B2
drapery,noun,B2
draught,noun,B2
draw,noun,A2
draw,verb,A1
drawer,noun,A2
drawing,noun,A2
dread,verb,B2
dreadful,adjective,B2
dream,noun,A1
dream,verb,A2
dreamy,adjective,B2
dress,noun,A1
dress,verb,A2
dressed,adjective,A2
drill,noun,A2
drink,noun,A1
drink,verb,A1
drinkable,adjective,B2
drive,noun,A1
drive,verb,A2
driver,noun,A1
driver's license,noun,A2
driving licence,noun,A2
droop,noun,B2
drop,noun,A2
drop,verb,A1
dropout,noun,B2
drought,noun,B2
drown,verb,B1
drug,noun,A2
drugstore,noun,A2
drum,noun,A1
drunk,adjective,B1
dry,adjective,A1
dry,verb,A2
duck,noun,A2
dude,noun,B1
due,adjective,A1
duel,noun,B2
dull,adjective,B1
dumb,adjective,B2
dump,noun,B1
dump,verb,B1
duplicate,noun,B2
duplication,noun,B2
during,preposition,A2
dust,noun,A2
dustbin,noun,B1
dusty,adjective,B1
duty,noun,B1
duty-free,adjective,B1
duvet,noun,B1
DVD,noun,A1
dwarf,noun,B2
dye,noun,B2
dynamic,adjective,B2
dynasty,noun,B1
each,determiner,A1
each,pronoun,A1
each other,pronoun,A1
eager,adjective,B1
eagerly,adverb,B2
eagerness,noun,B1
eagle,noun,B2
ear,noun,A1
earache,noun,B1
early,adjective,A2
early,adverb,A1
earn,verb,A2
earnest,adjective,B1
earnings,noun,B2
earring,noun,A2
earth,noun,A2
earthquake,noun,A2
ease,noun,B2
ease,verb,B2
easily,adverb,A2
east,adjective,A2
east,adverb,A2
east,noun,A2
eastern,adjective,B1
eastward,adverb,B2
eastwards,adverb,B2
easy,adjective,A1
easygoing,adjective,B1
easy-going,adjective,B1
eat,verb,A1
eco,noun,B1
ecological,adjective,B1
ecologically,adverb,B2
ecologist,noun,B2
ecology,noun,B1
economic,adjective,B1
economical,adjective,B2
economics,noun,B1
economist,noun,B2
economy,noun,B1
ecosystem,noun,B1
ecstasy,noun,B1
ecstatic,adjective,B2
edge,noun,B1
edit,noun,B2
edit,verb,B2
edition,noun,B1
editor,noun,A2
editorial,noun,B2
educate,verb,B1
educated,adjective,B2
education,noun,A2
educational,adjective,A2
educator,noun,B2
effect,noun,A2
effective,adjective,B1
effectively,adverb,B2
effectiveness,noun,B2
efficiency,noun,B1
efficient,adjective,B1
effort,noun,A2
egg,noun,A1
eight,number,A1
eighteen,number,A1
eighty,number,A1
either,adverb,A1
either,conjunction,A2
either,determiner,B1
either,pronoun,B1
elbow,noun,B1
elderly,adjective,A2
elect,verb,B2
election,noun,B1
elective,adjective,B2
electric,adjective,A2
electrical,adjective,B1
electrician,noun,B2
electricity,noun,B1
electron,noun,B1
electronic,adjective,B1
electronically,adverb,B2
electronics,noun,B2
elegance,noun,B2
elegant,adjective,B2
elegantly,adverb,B2
element,noun,B1
elemental,adjective,B2
elementary,adjective,A1
elephant,noun,A2
elevator,noun,A2
eleven,number,A1
eligible,adjective,B2
eliminate,verb,B1
elite,noun,B2
eloquence,noun,B2
eloquent,adjective,B2
else,adverb,A1
elsewhere,adverb,A2
email,verb,A2
email,noun,A1
e-mail,noun,A1
E-mail,noun,A1
embarrass,verb,B1
embarrassed,adjective,B1
embarrassing,adjective,A2
embarrassment,noun,B1
embassy,noun,B2
embrace,noun,B2
emerge,verb,B1
emergence,noun,B2
emergency,noun,A2
emotion,noun,B1
emotional,adjective,B1
emotionally,adverb,B1
emperor,noun,B1
emphasis,noun,B1
emphasise,verb,B1
emphasize,verb,B1
emphatically,adverb,B2
empire,noun,B1
employ,verb,B2
employee,noun,B2
employer,noun,B2
employment,noun,B1
empty,adjective,A2
enable,verb,B1
enclose,verb,B1
encounter,noun,B1
encounter,verb,B2
encourage,verb,A2
encouragement,noun,B1
encouraging,adjective,B1
encyclopaedia,noun,B1
encyclopedia,noun,B1
end,noun,A1
end,verb,A2
endanger,verb,B1
endangered,adjective,A2
endeavor,noun,B2
endeavour,noun,B2
ending,noun,A2
endless,adjective,B1
endlessly,adverb,B2
endorse,verb,B2
endurance,noun,B2
endure,verb,B1
enduring,adjective,B2
enemy,noun,B1
energetic,adjective,A2
energy,noun,B2
enforce,verb,B2
engage,verb,B1
engaged,adjective,B1
engagement,noun,B2
engine,noun,B1
engineer,noun,A1
engineering,noun,B1
Englishman,noun,B1
engulf,verb,B2
enhance,verb,B2
enjoy,verb,A1
enjoyable,adjective,B1
enjoyment,noun,B1
enormous,adjective,A2
enough,adverb,A2
enough,determiner,A2
enough,pronoun,A2
enquire,verb,B2
enquiry,noun,B1
enrich,verb,B1
enrol,verb,B2
enroll,verb,B2
ensure,verb,B1
enter,verb,A2
enterprise,noun,B2
entertain,verb,B1
entertainer,noun,B1
entertaining,adjective,B2
entertainment,noun,A2
enthusiasm,noun,B1
enthusiast,noun,B1
enthusiastic,adjective,B1
enthusiastically,adverb,B2
entire,adjective,B1
entirely,adverb,B1
entitle,verb,B2
entrance,noun,A2
entrepreneur,noun,B2
entry,noun,B1
envelope,noun,A2
environment,noun,B2
environmental,adjective,B1
environmentalist,noun,B1
environmentally,adverb,B2
environmentally friendly,adjective,B2
envy,noun,A2
envy,verb,B2
episode,noun,A2
equal,adjective,B1
equal,noun,B2
equal,verb,B2
equality,noun,B1
equally,adverb,B1
equation,noun,B2
equip,verb,B2
equipment,noun,B1
equity,noun,B2
era,noun,B1
erect,adjective,B2
error,noun,A2
erupt,verb,B2
eruption,noun,B2
escalator,noun,A2
escape,noun,A2
escape,verb,B1
especially,adverb,A2
essay,noun,A2
essayist,noun,B2
essence,noun,B1
essential,adjective,B1
essentially,adverb,B2
establish,verb,A2
establishment,noun,B1
estate,noun,B2
estimate,noun,B2
estimate,verb,B1
estimated,adjective,B2
eternal,adjective,B1
eternally,adverb,B2
eternity,noun,B1
ethic,noun,B2
ethnic,adjective,B2
euro,noun,A2
evacuate,verb,B2
evacuation,noun,B2
evaluate,verb,B2
evaluation,noun,B2
even,adjective,B1
even,adverb,A2
evening,noun,A1
evenly,adverb,B1
event,noun,A1
eventually,adverb,B1
ever,adverb,A2
everlasting,adjective,B2
every,determiner,A1
everybody,pronoun,A1
everyday,adjective,A1
everyone,pronoun,A1
everything,pronoun,A1
everywhere,adverb,A1
evidence,noun,A2
evident,adjective,B1
evidently,adverb,B2
evil,adjective,B2
evil,noun,B2
evolution,noun,B2
evolve,verb,B2
exact,adjective,B1
exactly,adverb,A2
exactness,noun,B2
exaggerate,noun,B2
exaggeration,noun,B2
exalt,verb,B2
exam,noun,A2
examination,noun,B1
examine,verb,B1
examinee,noun,B2
examiner,noun,B1
example,noun,A1
exceed,verb,B2
excel,verb,B2
excellence,noun,B1
excellent,adjective,A1
except,conjunction,A2
except,preposition,A2
exception,noun,B2
exceptional,adjective,B2
exceptionally,adverb,B2
excess,noun,B1
excessive,adjective,B2
exchange,noun,A2
exchange,verb,B1
exchange rate,noun,B1
excited,adjective,A1
excitedly,adverb,B1
excitement,noun,B1
exciting,adjective,A1
exclaim,verb,B2
exclamation mark,noun,B2
exclude,verb,B2
exclusion,noun,B2
exclusive,adjective,B1
exclusively,adverb,B2
excursion,noun,B2
excuse,noun,A1
excuse,verb,B1
execute,verb,B2
execution,noun,B2
executive,adjective,B2
executive,noun,B2
exercise,noun,A2
exercise,verb,A1
exhaust,noun,B2
exhausted,adjective,B1
exhausting,adjective,B2
exhaustion,noun,B2
exhibit,verb,B2
exhibition,noun,A2
exile,noun,B2
exist,verb,A2
existence,noun,B1
existing,adjective,B2
exit,noun,B1
exit,verb,B1
exotic,adjective,B2
expand,verb,B1
expansion,noun,B2
expect,verb,A2
expectation,noun,B2
expected,adjective,B2
expedition,noun,B2
expense,noun,B1
expensive,adjective,A1
experience,noun,A2
experience,verb,B1
experienced,adjective,B1
experiment,noun,B1
experiment,verb,B2
expert,adjective,B2
expert,noun,A2
explain,verb,A2
explanation,noun,A2
explode,verb,B2
exploit,verb,B2
exploration,noun,B1
explore,verb,A2
explorer,noun,B2
explosion,noun,B1
explosive,adjective,B2
explosive,noun,B2
export,noun,B2
export,verb,B2
expose,verb,B1
express,noun,A2
express,verb,B1
expression,noun,A2
expressive,adjective,B2
exquisite,adjective,B2
extend,verb,B1
extension,noun,B2
extensive,adjective,B2
extensively,adverb,B1
extent,noun,B1
external,adjective,B2
extinct,adjective,B1
extinction,noun,B1
extra,adjective,A2
extra,adverb,A2
extra,noun,B1
extract,noun,B2
extract,verb,B2
extraordinarily,adverb,B2
extraordinary,adjective,B1
extreme,adjective,B1
extreme sports,noun,B1
extremely,adverb,A2
exultant,adjective,B2
eye,noun,A1
eyebrow,noun,B2
eyelash,noun,B2
eyelid,noun,B2
eyesight,noun,B1
fabric,noun,B2
fabulous,adjective,B2
face,noun,A1
face,verb,A2
face to face,adverb,B1
face-to-face,adjective,B1
facilitate,verb,B2
facilities,noun,B2
facility,noun,B1
fact,noun,A2
factor,noun,B2
factory,noun,A1
faculty,noun,B2
fade,verb,B1
fail,verb,A2
failure,noun,B1
faint,adjective,B1
faint,verb,B2
fair,adjective,A1
fair,noun,B1
fairly,adverb,A2
fairy,noun,A1
faith,noun,B2
faithful,adjective,B1
fake,adjective,B1
fall,noun,B1
fall,verb,A2
fallen,adjective,B1
false,adjective,A1
falter,verb,B2
fame,noun,B2
familiar,adjective,A2
familiarise,verb,B2
familiarize,verb,B2
family,noun,A1
famous,adjective,A1
fan,noun,A1
fancy,adjective,A2
fancy,noun,B1
fancy,verb,B1
fantastic,adjective,A2
fantastically,adverb,B2
fantasy,noun,B1
far,adjective,B2
far,adverb,A2
faraway,adjective,B1
fare,noun,A2
farewell,noun,B1
farm,noun,A1
farmer,noun,A1
farming,noun,B1
farmland,noun,B1
farther,adverb,B1
farthest,adverb,B1
fascinate,verb,B1
fascinated,adjective,B2
fascinating,adjective,A2
fascination,noun,B2
fashion,noun,A2
fashionable,adjective,B1
fast,adjective,A1
fast,adverb,A1
fast food,noun,A2
fasten,verb,B1
fat,adjective,A1
fat,noun,B2
fatal,adjective,B2
fate,noun,B2
father,noun,A1
father-in-law,noun,B2
fault,noun,A2
faulty,adjective,B2
favor,noun,A2
favorable,adjective,B1
favorite,adjective,A1
favorite,noun,A1
favour,noun,A2
favourable,adjective,B1
favourite,adjective,A1
favourite,noun,A1
fax,noun,B1
fax,verb,B1
fear,noun,A2
fear,verb,B2
fearsome,adjective,B2
feast,noun,B1
feat,noun,B2
feather,noun,A2
feature,noun,A2
feature,verb,B2
February,noun,A1
fed up,adjective,B2
federal,adjective,B2
fee,noun,A2
feed,noun,A1
feed,verb,B1
feedback,noun,B2
feel,noun,A2
feel,verb,A1
feeling,noun,A1
fellow,adjective,B2
fellow,noun,B1
female,adjective,A2
female,noun,B2
fence,noun,A2
ferry,noun,B1
ferryboat,noun,B2
festival,noun,A1
festive,adjective,B1
fetch,verb,B1
fever,noun,A1
feverishly,adverb,B1
few,determiner,A2
few,pronoun,B1
fiber,noun,B2
fibre,noun,B2
fiction,noun,A2
fictional,adjective,B2
field,noun,A1
fierce,adjective,B2
fifteen,number,A1
fifth,noun,B1
fifty,number,A1
fight,noun,A1
fight,verb,B1
fighter,noun,A2
fighting,noun,B2
figurative,adjective,B2
figure,noun,A2
figure,verb,A2
file,noun,A1
file,verb,B2
filial,adjective,B2
fill,verb,A1
filling,noun,B1
film,noun,A2
film,verb,B1
film-maker,noun,B1
filter,noun,B1
final,adjective,A2
final,noun,A2
finally,adverb,A2
finance,noun,B2
finance,verb,B1
financial,adjective,B1
financially,adverb,B2
find,verb,A1
finding,noun,B1
fine,adjective,A1
fine,adverb,B2
fine,noun,B1
fine,verb,B2
finely,adverb,B2
finger,noun,B1
fingernail,noun,B2
finish,noun,A1
finish,verb,A1
fire,noun,A1
fire,verb,B2
fire brigade,noun,B2
fire station,noun,B1
firearm,noun,B2
firefighter,noun,B1
fireplace,noun,B2
firework,noun,B1
firm,adjective,B1
firm,noun,B1
firmly,adverb,B1
firmness,noun,B2
first,adjective,A1
first,adverb,A1
first floor,noun,B1
first lady,noun,B1
first language,noun,B2
first name,noun,A2
first person,noun,B2
first-floor,adjective,B1
firstly,adverb,B2
fiscal,adjective,B2
fish,noun,A1
fish,verb,B1
fisherman,noun,A2
fishing,noun,A1
fit,adjective,A2
fit,noun,B2
fit,verb,B1
fitness,noun,B1
five,number,A1
fix,noun,A2
fix,verb,B1
fixed,adjective,B2
flag,noun,A1
flame,noun,B2
flap,verb,B2
flash,adjective,B1
flash,noun,B2
flash,verb,B2
flat,adjective,B1
flat,adverb,B2
flat,noun,A1
flavor,noun,B1
flavour,noun,B1
flaw,noun,B2
flawless,adjective,B2
flax,noun,B2
flea,noun,A2
flee,verb,B2
fleet,noun,B2
flesh,noun,B2
flexibility,noun,B2
flexible,adjective,B2
flexibly,adverb,B2
flight,noun,A2
flip,verb,B2
float,noun,A2
float,verb,B1
flock,noun,B1
flood,noun,A2
flood,verb,B1
floor,noun,A1
flour,noun,A2
flow,noun,B1
flow,verb,B1
flower,noun,A1
flu,noun,B1
fluency,noun,B2
fluent,adjective,B1
fluently,adverb,B1
fluid,adjective,B2
flunk,verb,B1
flute,noun,B1
flutter,noun,B2
fly,noun,A1
fly,verb,A1
focus,noun,B2
focus,verb,A1
fog,noun,A2
foggy,adjective,A1
fold,noun,B1
fold,verb,B1
folder,noun,A2
folk,noun,B1
follow,verb,A2
follower,noun,B2
following,adjective,A1
following,preposition,B2
folly,noun,B2
fond,adjective,B1
fondly,adverb,B2
fondness,noun,B1
food,noun,A1
fool,noun,A2
fool,verb,B1
foolish,adjective,B1
foolishly,adverb,B2
foot,noun,B1
football,noun,A1
footballer,noun,A2
footnote,noun,B2
for,conjunction,A2
for,preposition,A1
forbid,verb,A2
forbidden,adjective,B1
force,noun,A2
force,verb,B2
forcefully,adverb,B2
forecast,noun,B1
forehead,noun,B1
foreign,adjective,A1
foreigner,noun,A1
foreman,noun,B2
foresee,verb,B2
forest,noun,A2
forestry,noun,B2
forever,adverb,A2
forget,verb,A1
forgive,verb,B1
fork,noun,A2
form,noun,A1
form,verb,B1
formal,adjective,B1
formally,adverb,B1
format,noun,B1
format,verb,B1
formation,noun,B2
former,adjective,B1
formerly,adverb,B2
formidable,adjective,B2
formula,noun,B1
forth,adverb,B1
forthcoming,adjective,B2
